botanist,cycle,images,last_watered,name,origin_location,plant_id,recording_taken,scientific_name,soil_moisture,sunlight,temperature
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '001-197-304-0701x96926'}",Perennial,"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/7245_schefflera_arboricola/medium/50892679962_787651a1ea_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/7245_schefflera_arboricola/og/50892679962_787651a1ea_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/7245_schefflera_arboricola/regular/50892679962_787651a1ea_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/7245_schefflera_arboricola/small/50892679962_787651a1ea_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/7245_schefflera_arboricola/thumbnail/50892679962_787651a1ea_b.jpg'}","Wed, 10 May 2023 14:05:58 GMT",Schefflera Arboricola,"['28.92694', '78.23456', 'Bachhraon', 'IN', 'Asia/Kolkata']",33,2023-05-11 09:32:05,['Schefflera arboricola'],32.06996809708738,['Part sun/part shade'],13.553781916652463
"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '531-160-8892x4734'}",Herbaceous Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/628_aglaonema_silver_queen/medium/24798632751_3a039ecbc6_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/628_aglaonema_silver_queen/og/24798632751_3a039ecbc6_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/628_aglaonema_silver_queen/regular/24798632751_3a039ecbc6_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/628_aglaonema_silver_queen/small/24798632751_3a039ecbc6_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/628_aglaonema_silver_queen/thumbnail/24798632751_3a039ecbc6_b.jpg'}","Wed, 10 May 2023 13:44:15 GMT",Aglaonema Commutatum,"['41.15612', '1.10687', 'Reus', 'ES', 'Europe/Madrid']",34,2023-05-11 09:32:07,['Aglaonema commutatum'],30.533523011695905,"['Part shade', 'full shade']",13.414659534701144
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '9766126198'}",Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/5257_monstera_deliciosa/medium/4630938853_623dc33137_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/5257_monstera_deliciosa/og/4630938853_623dc33137_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5257_monstera_deliciosa/regular/4630938853_623dc33137_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/5257_monstera_deliciosa/small/4630938853_623dc33137_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5257_monstera_deliciosa/thumbnail/4630938853_623dc33137_b.jpg'}","Wed, 10 May 2023 13:32:46 GMT",Monstera Deliciosa,"['-32.45242', '-71.23106', 'La Ligua', 'CL', 'America/Santiago']",35,2023-05-11 09:32:01,['Monstera deliciosa'],28.96811555182626,"['Full sun only if soil kept moist', ' Part sun/part shade']",12.933271505736515
"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '+1-233-531-2626x72126'}",Herbaceous Perennial,"{'license': 44, 'license_name': 'Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/4.0/', 'medium_url': 'https://perenual.com/storage/species_image/7680_tacca_integrifolia/medium/e8ff33915f6f1d88b3c0088c9d8db50d5062d3e9.jpg', 'original_url': 'https://perenual.com/storage/species_image/7680_tacca_integrifolia/og/e8ff33915f6f1d88b3c0088c9d8db50d5062d3e9.jpg', 'regular_url': 'https://perenual.com/storage/species_image/7680_tacca_integrifolia/regular/e8ff33915f6f1d88b3c0088c9d8db50d5062d3e9.jpg', 'small_url': 'https://perenual.com/storage/species_image/7680_tacca_integrifolia/small/e8ff33915f6f1d88b3c0088c9d8db50d5062d3e9.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/7680_tacca_integrifolia/thumbnail/e8ff33915f6f1d88b3c0088c9d8db50d5062d3e9.jpg'}","Wed, 10 May 2023 14:09:55 GMT",Tacca Integrifolia,"['32.54044', '-82.90375', 'Dublin', 'US', 'America/New_York']",36,2023-05-11 09:32:03,['Tacca integrifolia'],34.465754768797,"['Part shade', 'full shade']",12.312357347767954
"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '(984)989-6004'}",,,"Wed, 10 May 2023 14:23:43 GMT",Psychopsis Papilio,"['30.21121', '74.4818', 'Malaut', 'IN', 'Asia/Kolkata']",37,2023-05-11 09:32:05,,34.378929135238096,,11.08984589689982
"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '168.863.3135'}",Herbaceous Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/7030_saintpaulia_ionantha/medium/46232918414_09d5aca9c4_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/7030_saintpaulia_ionantha/og/46232918414_09d5aca9c4_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/7030_saintpaulia_ionantha/regular/46232918414_09d5aca9c4_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/7030_saintpaulia_ionantha/small/46232918414_09d5aca9c4_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/7030_saintpaulia_ionantha/thumbnail/46232918414_09d5aca9c4_b.jpg'}","Wed, 10 May 2023 13:46:06 GMT",Saintpaulia Ionantha,"['-6.8', '39.25', 'Magomeni', 'TZ', 'Africa/Dar_es_Salaam']",38,2023-05-11 09:32:06,['Saintpaulia ionantha'],33.803939417674414,"['Part shade', 'full shade']",11.073631681097993
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '628.072.8774'}",Herbaceous Perennial,"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/species_image/3060_gaillardia_aestivalis/medium/park_flowers_blue_sunset_red_wild_hairy_sun-400538.jpg', 'original_url': 'https://perenual.com/storage/species_image/3060_gaillardia_aestivalis/og/park_flowers_blue_sunset_red_wild_hairy_sun-400538.jpg', 'regular_url': 'https://perenual.com/storage/species_image/3060_gaillardia_aestivalis/regular/park_flowers_blue_sunset_red_wild_hairy_sun-400538.jpg', 'small_url': 'https://perenual.com/storage/species_image/3060_gaillardia_aestivalis/small/park_flowers_blue_sunset_red_wild_hairy_sun-400538.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/3060_gaillardia_aestivalis/thumbnail/park_flowers_blue_sunset_red_wild_hairy_sun-400538.jpg'}","Wed, 10 May 2023 14:18:23 GMT",Gaillardia,"['36.24624', '139.07204', 'Fujioka', 'JP', 'Asia/Tokyo']",39,2023-05-11 09:32:08,['Gaillardia aestivalis'],31.11897178606965,['Full sun'],13.403721487335849
"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '745.905.8724x05682'}",Perennial,"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/species_image/3828_hippeastrum_group/medium/amaryllis-flowers-christmas-christmas-flower.jpg', 'original_url': 'https://perenual.com/storage/species_image/3828_hippeastrum_group/og/amaryllis-flowers-christmas-christmas-flower.jpg', 'regular_url': 'https://perenual.com/storage/species_image/3828_hippeastrum_group/regular/amaryllis-flowers-christmas-christmas-flower.jpg', 'small_url': 'https://perenual.com/storage/species_image/3828_hippeastrum_group/small/amaryllis-flowers-christmas-christmas-flower.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/3828_hippeastrum_group/thumbnail/amaryllis-flowers-christmas-christmas-flower.jpg'}","Wed, 10 May 2023 14:05:38 GMT",Amaryllis,"['44.92801', '4.8951', 'Valence', 'FR', 'Europe/Paris']",40,2023-05-11 09:32:10,['Hippeastrum (group)'],35.31211418114603,"['Full sun', 'part shade']",9.092484875812334
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '152-928-2635'}",Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/medium/25575875658_d782fb76f1_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/og/25575875658_d782fb76f1_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/regular/25575875658_d782fb76f1_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/small/25575875658_d782fb76f1_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/thumbnail/25575875658_d782fb76f1_b.jpg'}","Wed, 10 May 2023 13:45:13 GMT",Caladium Bicolor,"['22.4711', '88.1453', 'Pujali', 'IN', 'Asia/Kolkata']",41,2023-05-11 09:32:11,['Caladium bicolor'],33.56451739179104,"['Part shade', 'full shade']",11.76231108458028
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '166-389-3611x0944'}",Herbaceous Perennial,"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/medium/49255769768_df55596553_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/og/49255769768_df55596553_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/regular/49255769768_df55596553_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/small/49255769768_df55596553_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/thumbnail/49255769768_df55596553_b.jpg'}","Wed, 10 May 2023 14:49:43 GMT",Chlorophytum Comosum,"['41.57439', '24.71204', 'Smolyan', 'BG', 'Europe/Sofia']",42,2023-05-11 09:32:09,"[""Chlorophytum comosum 'Vittatum'""]",34.99376638320463,"['Part shade', 'full shade']",9.865694371529976
"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '+1-520-993-1054'}",Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/917_araucaria_heterophylla/medium/49833684212_2aff9d7b3c_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/917_araucaria_heterophylla/og/49833684212_2aff9d7b3c_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/917_araucaria_heterophylla/regular/49833684212_2aff9d7b3c_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/917_araucaria_heterophylla/small/49833684212_2aff9d7b3c_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/917_araucaria_heterophylla/thumbnail/49833684212_2aff9d7b3c_b.jpg'}","Wed, 10 May 2023 13:32:40 GMT",Araucaria Heterophylla,"['20.22816', '-103.5687', 'Zacoalco de Torres', 'MX', 'America/Mexico_City']",44,2023-05-11 09:32:11,['Araucaria heterophylla'],31.390834835081037,['Part shade'],9.574658659731366
"{'email': 'gertrude.jekyll@lnhm.co.uk', 'name': 'Gertrude Jekyll', 'phone': '001-134-166-0165x681'}",Herbaceous Perennial,"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/medium/49255769768_df55596553_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/og/49255769768_df55596553_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/regular/49255769768_df55596553_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/small/49255769768_df55596553_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2_abies_alba_pyramidalis/thumbnail/49255769768_df55596553_b.jpg'}","Wed, 10 May 2023 14:04:23 GMT",Begonia,"['33.95015', '-118.03917', 'South Whittier', 'US', 'America/Los_Angeles']",45,2023-05-11 09:32:12,"[""Begonia 'Art Hodes'""]",32.23497702804643,"['Full sun', 'part shade']",9.011767497119767
"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '392.820.2918x20073'}",Perennial,"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/5180_medinilla_magnifica/medium/52021835452_2e9d0bef62_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/5180_medinilla_magnifica/og/52021835452_2e9d0bef62_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5180_medinilla_magnifica/regular/52021835452_2e9d0bef62_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/5180_medinilla_magnifica/small/52021835452_2e9d0bef62_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5180_medinilla_magnifica/thumbnail/52021835452_2e9d0bef62_b.jpg'}","Wed, 10 May 2023 14:12:39 GMT",Medinilla Magnifica,"['-13.7804', '34.4587', 'Salima', 'MW', 'Africa/Blantyre']",46,2023-05-11 09:32:13,['Medinilla magnifica'],35.935108622467766,['Part shade'],13.324499285852143
"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '001-365-608-0106'}",Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/1477_calliandra_haematocephala/medium/52063600268_834ebc0538_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/1477_calliandra_haematocephala/og/52063600268_834ebc0538_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/1477_calliandra_haematocephala/regular/52063600268_834ebc0538_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/1477_calliandra_haematocephala/small/52063600268_834ebc0538_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/1477_calliandra_haematocephala/thumbnail/52063600268_834ebc0538_b.jpg'}","Wed, 10 May 2023 13:30:18 GMT",Calliandra Haematocephala,"['37.49223', '15.07041', 'Catania', 'IT', 'Europe/Rome']",47,2023-05-11 09:32:14,['Calliandra haematocephala'],-3.0238264414285823,['Full sun'],13.34580919100935
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '956-412-6991'}",Herbaceous Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/8386_zamioculcas_zamiifolia/medium/24891577155_64934d420e_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/8386_zamioculcas_zamiifolia/og/24891577155_64934d420e_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/8386_zamioculcas_zamiifolia/regular/24891577155_64934d420e_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/8386_zamioculcas_zamiifolia/small/24891577155_64934d420e_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/8386_zamioculcas_zamiifolia/thumbnail/24891577155_64934d420e_b.jpg'}","Wed, 10 May 2023 14:31:09 GMT",Zamioculcas Zamiifolia,"['14.14989', '121.3152', 'Calauan', 'PH', 'Asia/Manila']",48,2023-05-11 09:32:15,['Zamioculcas zamiifolia'],33.13800760351562,"['Part shade', 'full shade']",14.896234697204674
"{'email': 'eliza.andrews@lnhm.co.uk', 'name': 'Eliza Andrews', 'phone': '829-813-5848x56438'}",Perennial,"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/2193_crassula_ovata/medium/33253726791_980c738a1e_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/2193_crassula_ovata/og/33253726791_980c738a1e_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2193_crassula_ovata/regular/33253726791_980c738a1e_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2193_crassula_ovata/small/33253726791_980c738a1e_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2193_crassula_ovata/thumbnail/33253726791_980c738a1e_b.jpg'}","Wed, 10 May 2023 14:02:15 GMT",Crassula Ovata,"['17.94979', '-94.91386', 'Acayucan', 'MX', 'America/Mexico_City']",49,2023-05-11 09:32:12,['Crassula ovata'],31.7804122866861,['full sun'],9.396748312341094
"{'email': 'carl.linnaeus@lnhm.co.uk', 'name': 'Carl Linnaeus', 'phone': '+1-114-709-5518x591'}",Perennial,"{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'medium_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/medium/2560px-Epipremnum_aureum_31082012.jpg', 'original_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/og/2560px-Epipremnum_aureum_31082012.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/regular/2560px-Epipremnum_aureum_31082012.jpg', 'small_url': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/small/2560px-Epipremnum_aureum_31082012.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2773_epipremnum_aureum/thumbnail/2560px-Epipremnum_aureum_31082012.jpg'}","Wed, 10 May 2023 14:03:04 GMT",Epipremnum Aureum,"['-19.32556', '-41.25528', 'Resplendor', 'BR', 'America/Sao_Paulo']",50,2023-05-11 09:32:14,['Epipremnum aureum'],32.090701920619566,['Part shade'],13.173433245587578
